FID,Lat,Lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
229,24.103786,55.364909,0.1383,0.1941,0.2494,0.3253,0.3636,0.3969,0.4023,0.4188,0.4856,0.4322
230,24.122400,55.389997,0.1701,0.2533,0.3617,0.3616,0.3856,0.4098,0.4370,0.4311,0.5260,0.4854
231,24.122400,55.389997,0.1701,0.2533,0.3617,0.3616,0.3856,0.4098,0.4370,0.4311,0.5260,0.4854
232,24.113201,55.406554,0.1546,0.2454,0.3806,0.4186,0.4295,0.4505,0.4651,0.4646,0.5973,0.5553
243,23.109633,53.617384,0.1782,0.2668,0.3752,0.4070,0.4128,0.4254,0.4364,0.4390,0.5605,0.5389
244,23.110916,53.604927,0.1640,0.2408,0.3318,0.3634,0.3744,0.3914,0.4008,0.4068,0.5019,0.4865
253,23.038233,53.449025,0.0900,0.1384,0.1592,0.2226,0.3354,0.3903,0.3806,0.4128,0.3594,0.2880
261,23.158092,53.834623,0.0975,0.1383,0.1707,0.1830,0.2672,0.3070,0.3436,0.3351,0.3139,0.2607
262,23.156743,53.835228,0.1162,0.1738,0.2264,0.2765,0.3212,0.3521,0.3536,0.3788,0.3926,0.3557
263,23.190678,53.799230,0.1470,0.2158,0.2916,0.3083,0.3481,0.3796,0.3896,0.3971,0.4470,0.3981
264,23.236693,53.792392,0.1994,0.2788,0.3698,0.4039,0.4067,0.4258,0.4340,0.4429,0.5539,0.5139
265,23.246103,53.787290,0.2088,0.2822,0.3572,0.3875,0.4174,0.4450,0.4572,0.4655,0.4947,0.4241
266,23.322935,53.790887,0.1398,0.1998,0.2691,0.2827,0.3679,0.4038,0.4200,0.4329,0.4192,0.3357
267,23.535910,53.761653,0.2346,0.3203,0.4138,0.4622,0.4604,0.4761,0.4812,0.4869,0.5728,0.5178
268,23.546264,53.750218,0.2523,0.3318,0.4244,0.4422,0.4448,0.4620,0.4926,0.4824,0.6071,0.5641
269,23.552014,53.754121,0.1963,0.2767,0.3717,0.4177,0.4171,0.4322,0.4226,0.4493,0.5687,0.5343
270,23.626975,53.724733,0.1294,0.1746,0.2276,0.2849,0.3314,0.3591,0.3517,0.3858,0.4183,0.3629
272,23.685150,53.744273,0.2317,0.2794,0.3566,0.3871,0.3943,0.4029,0.3799,0.3970,0.4900,0.4743
276,23.660954,53.670871,0.1250,0.1877,0.2292,0.2667,0.3888,0.4335,0.4538,0.4527,0.4048,0.3126
277,23.658792,53.661287,0.2090,0.2975,0.3931,0.4160,0.4203,0.4352,0.4560,0.4497,0.5600,0.5240
281,23.102047,53.978657,0.2168,0.3088,0.4211,0.4537,0.4566,0.4712,0.4855,0.4857,0.5959,0.5719
284,23.127772,53.987505,0.1920,0.2538,0.3175,0.3437,0.3595,0.3827,0.3818,0.3957,0.4858,0.4578
287,23.059980,54.062327,0.2061,0.2866,0.3773,0.4189,0.4317,0.4488,0.4570,0.4619,0.5529,0.5205
288,23.028695,54.131090,0.1649,0.2381,0.3250,0.3819,0.4095,0.4354,0.4332,0.4538,0.5311,0.4891
289,23.046857,54.159755,0.0874,0.1275,0.1445,0.2070,0.3180,0.3794,0.3883,0.4044,0.3160,0.2495
299,22.995292,54.294657,0.2109,0.2884,0.3752,0.3908,0.4227,0.4517,0.4717,0.4690,0.5164,0.4514
