ID,Nitrogen,Phosphorus,Potassium,Chlorophyll,Leaf_Dry_Weight,Leaf_Fresh_Weight,Leaf_Area
773,2.67,0.33,2.23,397.79,9.46,40.1,1701.2
774,2.83,0.36,1.96,305.4,3.27,12.18,634.37
775,2.86,0.28,2.32,221.7,3.65,15.84,857.76
776,2.97,0.29,1.56,403.4,6.02,23.05,973.21
777,3.09,0.29,2.28,371.7,4.9,20.56,1001.8
778,2.89,0.36,2.21,367.5,7.22,27.84,1001.42
779,3.59,0.39,2.29,433.7,4.81,18.97,825.32
780,3.63,0.39,2.42,492.6,4.38,18.77,679.17
781,3.1,0.3,2.16,446.3,6.43,23.94,1144.35
782,3.3,0.3,1.85,377.6,4.25,15.69,767.41
783,2.68,0.26,1.9,298,2,7.88,464.94
784,3.42,0.34,2.4,494.5,4.19,16.67,686.83
785,3.1,0.28,1.98,390.3,3.1,11.67,584.43
786,3.13,0.27,2.44,402.3,3.4,12.57,610.27
787,2.59,0.28,2.13,333.2,4.07,15.85,623.06
788,3.81,0.34,2.09,483.4,6.38,26.02,1060.98
789,3.65,0.32,2.51,451.9,5.89,22.1,857.27
790,2.76,0.24,1.94,354.6,7.74,30.58,1284.77
791,3.42,0.29,2.35,421.7,3.8,16.13,731.14
792,3.3,0.3,2.59,320.4,3.03,12.54,685.31
793,2.97,0.28,2.2,426.2,8.79,33.78,1552.64
794,2.95,0.2,3.32,424.8,6.37,31.76,1081.14
795,3.29,0.28,2.75,268.4,8.45,20.04,1068.79
796,3.22,0.27,2.09,478.7,10.37,39.16,1736.43
797,3.07,0.25,2.01,398.4,3.59,13.2,727.48
798,3.22,0.28,2.15,461.1,8.74,33.25,1566.31
799,2.8,0.26,2.3,336.2,6.49,28.38,1206.7
800,3.06,0.3,2.36,408.9,8.37,37.3,1370.54
801,3.02,0.25,2.28,424.6,8.66,35.55,1662.44
802,3.43,0.3,2.31,444.2,9.28,37.05,1432.32
803,3,0.24,1.76,425.7,7.84,31.31,1179.16
804,2.92,0.24,2.6,353.5,6.58,29.77,1228.79
805,2.6,0.26,2.05,432.8,9.46,36.85,1682.02
806,2.93,0.22,2.59,405.5,6.01,26.63,971.28
807,2.84,0.26,1.8,429.1,5.76,22.13,974.84
808,3.25,0.32,2.05,439.8,5.58,25.07,1091.71
809,3.03,0.28,2.15,479.9,9.42,34.18,1622.21
810,2.91,0.3,2.09,469.6,7.87,28.87,1429.57
811,2.9,0.27,2.29,372.8,2.93,9.09,671.35
812,2.73,0.27,1.92,459.2,12.95,52.78,2081.51
813,3.1,0.24,2.45,394.1,7.53,32.02,1364.13
814,2.55,0.23,2.46,307.5,8.12,32.68,1398.97
815,3.29,0.28,1.63,412.6,4.05,16.26,843.12
816,2.79,0.32,1.76,333.8,4.18,15.5,750.08
817,3.61,0.38,1.72,558.6,5.01,19.86,829.35
818,2.89,0.28,2.42,397.7,2.88,11.95,534.61
819,2.96,0.28,2.15,455.7,7.6,29.91,1380.15
820,3.09,0.25,2.22,398.1,5.82,22.82,906.42
821,3.14,0.36,1.57,469.5,4.33,14.88,708.37
822,3.1,0.28,1.79,318.5,5.75,20.84,817.95
823,3.02,0.31,1.41,432.8,5.42,21.76,901.15
824,3.1,0.29,2.11,293.5,3,10.28,522.9
825,2.96,0.25,1.28,403.6,3.59,12.79,669.02
826,3.09,0.25,2.38,388.2,5.75,24.4,1058.18
827,3.33,0.3,1.4,527.4,3.18,12.3,598.75
828,2.84,0.28,1.67,434.7,4.72,18.76,775.97
829,2.53,0.19,2.28,363.5,4.63,21.71,793.47
830,2.93,0.28,2.06,457.5,9.31,35.86,1575.08
831,2.91,0.24,2.09,397.4,2.27,9.03,473.44
832,3.2,0.26,2.01,446,8.33,34.73,1429.66
833,3.05,0.28,2.25,374.7,5.09,20.39,911.81
834,3,0.26,2.04,444,7.82,30.21,1303.89
835,3.28,0.36,2.34,416.1,4.43,17.7,878.38
836,3.31,0.26,2.34,493.1,7.88,30.57,1261
837,3.05,0.22,3.12,332.6,3.83,17.84,790.48
838,3,0.22,1.91,325,7.03,27.88,1278.46
839,2.75,0.28,2.1,389.8,5.48,21.6,846.37
840,3,0.23,2.19,473.5,9.49,35.79,1423.68
841,2.62,0.26,1.99,454.5,7.82,32.07,1221.91
842,2.61,0.24,2.11,358.7,6.16,25.16,1091.83
843,3.1,0.28,2.55,434.4,8.07,33.12,1484.23
844,3.2,0.3,1.97,359.8,5.86,28.03,1216.84
845,2.95,0.29,1.79,422.3,5.37,19.59,839.14
846,2.86,0.25,1.41,399.6,7.02,25.49,1076.76
847,3.13,0.26,2.06,389.7,6.15,26.81,962.29
848,2.8,0.26,1.84,463.7,5.03,23.42,662.93
849,3.03,0.32,2.15,503.9,7.52,31.73,1214.18
850,3.11,0.24,1.86,385.9,7.01,26.74,1192.47
851,3.21,0.32,1.81,439.4,7.26,31.56,1127.95
852,3.39,0.29,2.81,480.8,8.8,41.87,1470.99
853,2.96,0.29,1.87,496.6,5.91,19.54,835.32
854,2.66,0.27,2.24,334.1,9.5,33.1,1658.92
855,2.8,0.34,2.51,398.53,5.73,26.1,1011.13
856,3.13,0.29,1.73,428.6,8.14,33.06,1331.24
857,2.79,0.23,2.71,337.7,4.26,17.47,938.6
858,3.23,0.28,1.49,469.9,4.04,13.72,688.05
859,3.51,0.25,1.45,443.1,3.47,13.17,704.09
860,3.15,0.26,2,346.1,5.54,22.61,1048.16
861,3.33,0.24,2.36,457.3,3.41,14.31,691.55
862,2.84,0.26,1.78,280,5.12,20.48,948.31
863,3.5,0.27,2.12,448.3,5.9,20.85,981.58
864,3.7,0.33,2.51,451.5,6.69,29.39,1187.41
865,3.43,0.29,2.03,462.9,7.33,30.8,1022.99
866,2.54,0.28,2.09,237.3,6.54,26.15,1121.14
867,3.24,0.28,1.81,430.6,2.84,10.83,503.43
868,3.49,0.36,1.93,499.6,5.04,19.03,877.14
869,2.89,0.24,1.68,419.9,4.82,17.6,812.41
870,3.3,0.36,2.26,388.8,3.75,14.72,704.78
871,2.56,0.17,2.09,353.2,4.49,20.91,954.65
872,3.22,0.22,1.83,420.3,8.57,33.22,1448.78
873,3.18,0.31,2.58,436.1,1.92,9.95,355.08
874,3.03,0.23,1.54,408.5,6.12,25.6,1078.75
875,2.78,0.27,1.58,371.1,5.3,19.13,916.35
876,2.99,0.28,1.56,447.3,6.44,26.03,1045.61
877,2.89,0.27,1.91,479.9,3.59,12.74,613.27
878,2.9,0.25,1.55,429,11.31,45.21,1639.36
879,3.37,0.28,2.24,433.5,4.27,17.81,784.87
880,3.34,0.28,2.56,455,5.03,25.34,1003.74
881,2.77,0.23,2.06,383.1,5.76,23.39,1064.54
882,3.11,0.28,1.96,387.8,5.5,23.36,1045.71
883,2.8,0.27,2.01,424.4,6,22.78,948.71
884,3.15,0.28,1.69,496.3,4.5,16.95,745.96
885,3.05,0.24,2.03,399.7,9.74,43.86,1528.72
886,3.1,0.23,2.16,397.2,9.05,37.52,1539.3
887,3.11,0.24,2.03,485.1,10.6,49.07,1684.85
888,3.26,0.34,1.91,509,7.52,30.74,1137.11
889,3.03,0.32,1.56,470.4,6.76,26.6,867.92
890,3.11,0.28,1.94,442.9,6.4,26.73,1145.78
891,2.99,0.24,1.95,550.7,6.45,26.16,822.04
892,3.13,0.25,2.13,462.1,7.95,35.22,1204.09
893,3.29,0.29,1.91,508.9,4.08,13.99,691.59
894,3.06,0.26,1.96,399,7.11,24.09,1272.49
895,2.9,0.23,2.28,421.9,5.86,26.67,1087.69
896,3.29,0.3,2.2,444.8,9.45,35.87,1440.73
897,3.28,0.23,2.33,431.5,7.36,31.95,1136.28
898,3.45,0.29,1.89,558.7,10.49,44.76,1616.3
899,3.06,0.29,2.66,283.7,3.27,15.37,796.36
900,2.77,0.24,2.71,331.7,7.03,32.11,1454.24
901,2.92,0.27,2.16,295.2,5.58,26.68,1206.04
902,2.94,0.27,2.11,380.3,4.48,17.79,890.57
903,2.97,0.28,2.2,362.6,5.72,22.92,1117.24
904,2.98,0.29,1.99,354.6,4.97,19.41,957.94
905,2.62,0.22,2.3,266.9,3.77,18.06,887.69
906,2.79,0.23,1.71,423,10.32,41.17,1797.71
907,2.63,0.22,2.2,253.7,7.8,32.81,1233.11
908,3.05,0.23,1.75,496.1,7.57,28,1104.74
909,3.16,0.21,1.99,448.3,10.76,44.29,1726.11
910,2.96,0.24,2.06,393.2,6.86,27.29,1317.41
911,3.26,0.21,2.36,368.8,5.47,26.09,1078.25
912,3.5,0.3,1.88,497.3,6.99,29.76,1120.9
913,2.91,0.25,2.56,420.7,13.33,57.53,2028.24
914,3.17,0.28,2.22,397.8,7.9,30.92,1478.42
915,3.08,0.26,2.78,367.4,7.1,34.26,1323.36
916,3.14,0.24,2.22,420.3,7.1,27.91,1354.83
917,3.09,0.28,2.25,443.8,7.52,28.87,1378.85
918,3.45,0.3,2.23,341.1,5.85,23.04,1193.37
919,3.63,0.28,2.37,404.9,7.37,35.1,1297.02
920,3.26,0.32,2.25,385.8,5.39,20.4,1043.72
921,3.49,0.26,2.94,393.9,6.99,31.17,1357.1
922,3.43,0.25,2.47,425,6.38,30,1219.26
923,3.22,0.25,2.42,342.7,7.82,31.45,1334.42
924,3.48,0.28,1.94,423.9,8.35,32.33,1453.86
925,3.46,0.26,2.16,475.5,6.26,26.51,1027.35
926,4,0.3,2.14,427,6.31,24.61,1216.35
927,2.82,0.24,2.13,390.1,9.59,39.28,1761.34
928,2.63,0.24,2.13,417.4,4.64,23.02,829.2
929,4.11,0.35,2.87,561.2,7.66,33.62,1203.07
930,3.12,0.26,2.4,406.6,9.77,40.9,1397.35
931,3.11,0.29,1.89,427.1,7.67,29.08,1269.24
932,3.16,0.27,1.91,467.6,8.94,34.73,1437
933,3.19,0.3,2.92,404.8,5.51,28.23,1073.08
934,3.89,0.34,2.1,543.7,5.62,25.14,917.9
935,3.05,0.28,2.11,498.5,10.3,37.05,1721.24
936,2.94,0.2,2.6,511.7,7,27.12,987.73
937,3.78,0.41,2.78,550.8,5.95,21.69,923.17
938,3.62,0.3,2.21,462.9,7.74,35.99,1300.59
939,2.79,0.28,2.22,411.2,5.02,20.32,887.18
940,2.94,0.22,2.35,505.5,8.98,40.83,1364.17
941,1.75,0.17,2.45,165.1,4.7,20.93,1067.64
942,3.02,0.28,2.26,391,5.86,23.75,1189.7
943,2.87,0.24,1.98,335.4,5.89,22.02,1111.18
944,2.96,0.27,1.98,384.9,6.05,23.64,1101.07
945,2.48,0.21,2.18,255.7,4.62,20.25,976.5
946,3.12,0.25,2.29,349.4,6.43,28.98,1304.19
947,2.81,0.2,1.79,391,7.11,32.21,1322.3
948,3.15,0.23,1.73,231.1,6.61,27.44,1381.77
949,3.32,0.24,1.91,442,8.69,36.48,1380.2
950,2.71,0.18,1.73,350.8,7.47,36.11,1179.47
951,3.1,0.19,2.08,418.6,13.36,51.83,1993.66
952,3.22,0.24,2.15,432.1,9.48,41.03,1523.54
953,2.99,0.2,2.16,470.8,6.62,28.56,1040.18
954,2.77,0.19,2.19,377.2,6.84,32.28,1151.96
955,2.89,0.21,2.46,286.4,2.6,11.64,572.58
956,3.31,0.27,1.91,423.6,4.66,19.39,691.02
957,3.08,0.2,1.91,361,5.56,21.2,1017.13
958,2.81,0.19,2.1,403,7.84,36.76,1388.64
959,3.13,0.25,2,426.8,7.73,29.37,1376.81
960,3.29,0.25,2.09,472.5,9.1,37.53,1461.77
961,2.91,0.22,1.79,417.9,9.16,35.47,1483.62
962,2.63,0.2,2.23,315.4,7.64,36.1,1345.01
963,3.34,0.24,1.74,426.2,7.9,32.49,1351.51
964,3.25,0.25,2.22,418.9,6.3,28.61,1139.28
965,3.14,0.29,1.66,487.8,8.73,34.89,1374.02
966,3.01,0.22,1.9,344.8,6.87,28.41,1200.66
967,3.16,0.23,2.12,497.4,8.99,35.93,1346.54
968,2.3,0.21,2.05,281.6,8.34,37.05,1445.04
969,3.16,0.19,2.25,492.3,6.9,32.11,1220.71
970,3.64,0.29,2.93,545.2,7.14,34.74,1236.22
971,2.97,0.23,2.57,515.2,7.63,34.04,1214.59
972,2.76,0.28,2.33,231.6,5.53,24.08,1069
973,2.3,0.2,2.2,389.9,7.92,36.56,1370.56
974,3.35,0.24,2.07,483.2,6.22,27.5,1337.7
975,3.06,0.26,2.31,376.5,7.49,39.58,1400.58
976,2.61,0.2,2.37,325.8,6.97,30.18,1269.94
977,3.12,0.24,1.91,569.3,8.4,32.51,1348.58
978,2.85,0.22,2.1,455.2,7.64,34.15,1225.14
979,3.25,0.23,2.06,410.8,4.88,20.4,1016.92
980,2.77,0.23,1.83,389.3,7.64,28.98,1264.71
981,2.99,0.22,2.06,456.3,8.71,33.21,1627.08
982,2.84,0.27,1.98,378.2,5.14,20.73,1030.4
983,3.23,0.29,2.17,340.3,3.61,18.38,784.14
984,3.08,0.28,1.53,339.1,5.63,23.6,1071.4
985,2.46,0.23,2.31,322.1,4.3,18.36,863.97
986,2.05,0.2,1.76,197.2,4.49,18.63,892.57
987,3.12,0.27,1.94,330.1,4.17,17.37,806.62
988,2.55,0.21,1.9,377.4,9.79,41.23,1472.65
989,3,0.26,1.99,453.3,10.05,42.41,1637.21
990,3.09,0.25,1.79,463.3,10.95,41.51,1844.27
991,2.76,0.24,2.53,389.4,7.18,31.32,1455.38
992,2.76,0.25,2.07,308.9,9.22,41.26,1441.46
993,2.56,0.22,2.25,380.8,8.17,36.99,1531.36
994,3.05,0.25,1.93,442,10.59,40.19,1738.01
995,2.76,0.26,2.04,369.1,6,25.1,1049.77
996,2.72,0.21,2.2,375.7,10.71,37.36,1227.94
997,2.97,0.27,2.15,499.1,11.34,47.93,1700.18
998,2.77,0.24,2.12,344.5,7.49,29.16,1204.14
999,2.97,0.25,1.86,428.2,7.55,28.95,1103.62
1000,3.18,0.28,2.21,306.9,5.97,26.01,1226.1
1001,3.51,0.3,1.76,479.1,7.07,26.81,1133.76
1002,3.07,0.26,2,441.2,10.45,42.44,1585.36
1003,2.79,0.26,2.24,357,6.99,32.2,1240.23
1004,3.58,0.35,2.73,477.9,6.5,27.8,1062.8
1005,2.98,0.26,1.69,397.2,5.36,20.78,952.33
1006,3,0.28,2,404.7,8.38,32.04,1502.7
1007,2.21,0.2,2.47,344.5,4.33,20.41,772.77
1008,2.91,0.36,2.74,296.4,4.96,23.87,992.26
1009,3.29,0.33,1.72,431.5,6.39,23.7,1129.46
1010,2.83,0.28,1.54,379.3,5.83,22.11,1001.35
1011,3.04,0.29,2.59,406.1,7.54,34.92,1386.91
1012,3.06,0.28,1.89,349.5,7.43,30.35,1177.39
1013,3.55,0.29,1.94,480.3,7.04,29.99,1221.44
1014,3.39,0.26,2.06,516,9.42,38.12,1490.94
1015,3.13,0.26,2.75,376.3,6.8,33.36,1242.89
1016,3.07,0.3,1.97,450.9,12.8,54.58,1761.89
1017,3,0.27,2.32,512.7,8.74,36.99,1438.56
1018,3.06,0.22,1.98,548.8,8.41,37.26,1211.58
1019,2.57,0.22,2.07,472.9,5.7,21.39,881.02
1020,3.13,0.24,2.03,476,9.43,30.2,1636.24
1021,3.59,0.27,2.23,539.4,7.38,32.16,1229.53
1022,2.6,0.3,1.77,367.2,8.99,36.44,1553.48
1023,2.05,0.29,2.31,223.1,4.79,21.89,979.97
1024,2.17,0.29,2.32,206.3,3.78,17.32,952.26
1025,1.67,0.26,1.73,197.1,4.55,17.73,938.79
1026,1.99,0.25,2.28,242.4,4.53,20.26,862.95
1027,1.78,0.24,1.98,307.6,7.57,30.22,1422.28
1028,1.79,0.24,2.43,191.2,3.81,19.48,841.64
1029,1.84,0.24,1.84,243.3,3.65,14.37,718.82
1030,1.47,0.18,1.92,223.8,5.79,23.84,1184.65
1031,1.44,0.16,2.12,198.1,3.96,17.87,818.36
1032,1.7,0.21,1.79,282,7.51,29.64,1406.69
1033,1.76,0.22,1.66,261.1,5.22,21.95,980.82
1034,2.32,0.23,1.77,282.4,5.68,23.63,1127.98
1035,2.67,0.29,2.13,350.3,14.9,56.59,2333.91
1036,1.96,0.23,2.13,297.1,5.16,21.61,895.21
1037,2.99,0.34,1.97,440.1,4.47,17.17,779.22
1038,2.24,0.29,2.26,238.3,5.03,20.8,1061.79
1039,1.68,0.19,2.07,230.6,6.7,25.85,1260.51
1040,2.05,0.26,2.4,234.5,6.76,30.04,1288.27
1041,1.93,0.27,1.94,287.3,4.94,19.01,922.15
1042,2.51,0.3,1.96,298.2,5.85,24.41,1155.3
1043,3.34,0.35,1.94,460.3,4.44,18.45,794.93
1044,2.76,0.32,1.98,385.8,2.8,12.15,608.67
1045,2.81,0.29,2.67,516.5,6.8,25.41,1066.56
1046,2.03,0.25,2.34,238,3.98,15.73,834.42
1047,2.16,0.27,1.94,324.8,7.43,28.25,1340.41
1048,2.53,0.35,1.31,352.3,2.63,9.21,485.12
1049,2.99,0.38,2.44,422.9,3.3,14.31,594.68
1050,3.37,0.28,1.29,454.6,4.02,14.09,730.77
1051,3.08,0.27,1.86,335.4,2.33,9.79,424.11
1052,3.21,0.31,2.06,458.9,3.61,13.89,631.51
1053,1.97,0.22,1.44,283.1,4.78,17.36,894.68
1054,1.85,0.25,2.02,261.2,6.78,26.51,1262.27
1055,2.29,0.26,1.95,276.6,2.22,8.7,440.49
1056,2.38,0.24,2.73,259.5,4.05,19.16,883.16
1057,1.87,0.23,1.86,280.5,7.75,29.85,1437.3
1058,2.17,0.23,1.68,364.1,4.35,17.23,763.67
1059,2.82,0.3,1.89,444.9,6.86,26.72,1261.56
1060,3.06,0.32,1.97,543,2.7,9.47,443.96
1061,2.77,0.3,1.84,489.6,3.36,11.03,571.57
1062,2.9,0.33,1.73,420.3,2.91,11.12,477.8
1063,3.5,0.35,2.56,481.7,5.9,24.62,988.95
1064,2.05,0.23,1.71,311.4,5.11,18.24,1040.23
1065,1.55,0.27,2.4,182.1,5.19,23.09,1038.75
1066,1.52,0.25,2.1,224.4,6.27,25.42,1202.48
1067,1.35,0.25,2.13,186.4,5.7,24.32,1126.94
1068,1.41,0.24,2.06,197.1,4.84,19.19,958.84
1069,1.6,0.23,1.85,251.3,7.57,29.16,1338.48
1070,1.92,0.24,2.22,272,5.31,24.34,1003.52
1071,1.77,0.24,1.9,262.5,4.98,18.47,896.58
1072,1.69,0.2,2.3,250.7,4.43,18.82,791.62
1073,1.74,0.28,2.3,174.6,4.57,20.46,916.54
1074,1.98,0.25,1.95,244.2,5.5,22.24,1101.33
1075,1.88,0.21,1.61,279.9,7.49,27.66,1165.99
1076,2.71,0.33,1.83,236.8,6.37,24.52,1308.15
1077,2.11,0.21,2.09,269.2,7.94,31.8,1614.13
1078,1.65,0.22,1.89,221.5,3.4,13.29,659.22
1079,2.5,0.3,2.05,330.2,7.5,31.3,1317.33
1080,2.28,0.26,2.08,299,5.2,22.68,1030.71
1081,1.86,0.27,2.08,303.6,8.17,33.81,1509.89
1082,1.51,0.21,1.94,230,6.18,27.22,1161.54
1083,2.27,0.29,2.05,341.2,6.55,27.83,1216.78
1084,2.7,0.36,2.31,427.3,5.29,24.19,845.58
1085,1.93,0.3,2.15,248.6,8.03,34.27,1465.05
1086,2.37,0.38,2.36,296,4.31,16.24,757.6
1087,2.15,0.3,2.45,334.9,2.47,9.81,516.29
1088,2.62,0.32,2.52,373.9,6.05,26.21,1144.57
1089,2.72,0.31,2.78,365.5,5.54,22.81,857.06
1090,2.45,0.27,1.98,377.1,4.65,17.79,715.72
1091,2.55,0.28,1.82,405.7,8.21,29.89,1251.81
1092,2.81,0.37,2.09,398.1,4.88,19.61,863.16
1093,2.6,0.35,1.94,405.3,3.74,14.39,672.87
1094,2.78,0.32,2.07,393.1,4.99,21.59,954.27
1095,2.21,0.22,1.37,349.5,5.25,20.33,891.2
1096,2.58,0.28,1.96,326.5,3.84,16.08,772.78
1097,2.65,0.35,2.39,330.7,2.9,14.13,574.49
1098,2.7,0.27,1.26,486.9,3,10.7,554.81
1099,2.64,0.26,1.89,402.1,7.44,28.36,1224.42
1100,2.71,0.27,1.63,506.2,7.62,29.97,1162.27
1101,1.88,0.24,2.11,342.2,8,31.19,1437.66
1102,2.22,0.29,2.25,206.9,3.01,10.56,611.46
1103,2.05,0.29,2.1,244.8,6.16,24.68,1068.8
1104,2.83,0.28,2.46,457.3,7.63,30.71,1188.01
1105,3.38,0.31,2.07,545.6,6.6,23.81,1032.75
1106,2.34,0.2,2.21,367,5.9,23.61,1019.91
1107,1.63,0.23,2.09,174.5,3.1,14.01,761.24
1108,2,0.27,2.07,263.3,6.82,27.33,1267.31
1109,1.58,0.22,2.18,227.1,5.22,21.42,1031.17
1110,1.8,0.19,2.11,220.2,3.97,17.07,823.82
1111,2.35,0.32,2.68,375.5,12.88,58.81,1938.28
1112,1.75,0.23,2.1,292.1,9.9,40.86,1752.22
1113,1.4,0.24,2.16,155.9,4.53,18.65,1000.01
1114,2,0.21,1.98,311,6.27,25.26,987.09
1115,1.92,0.23,2.44,241.6,6.14,27.88,1125.4
1116,1.86,0.25,2.29,213,6.16,25.92,1139.46
1117,2.26,0.24,1.98,269.1,7.33,30.88,1308.69
1118,2.43,0.25,2.11,337.7,8.28,36.28,1453.56
1119,1.8,0.18,1.73,251.4,6.77,27.53,1240.33
1120,2.39,0.26,2.51,274.4,5.21,22.17,1078.6
1121,2.64,0.26,1.96,387.1,7.24,27.43,1086.41
1122,1.94,0.23,1.98,287.6,7.58,30.81,1431.58
1123,1.48,0.2,1.96,215.9,7.42,27.73,1335.29
1124,1.68,0.17,2.27,226.2,5.57,25.69,1075.65
1125,2.32,0.28,2.46,249.1,4.84,19.75,927.3
1126,2.6,0.32,2.5,336.4,7.72,34.2,1391.95
1127,2.36,0.3,2.12,344.1,8.98,35.77,1583.05
1128,1.7,0.22,1.72,258.4,3.73,12.99,694.64
1129,3.07,0.28,1.35,443.9,3.65,13.83,725.71
1130,2.2,0.29,1.99,338.2,5.65,23.99,966.28
1131,2.15,0.24,1.73,329.7,6.97,26.62,1240.07
1132,2.07,0.24,2.16,260.3,5.15,22.35,996.73
1133,2.13,0.26,1.66,277.2,2.8,10.18,529.35
1134,2.15,0.26,2.11,247.1,3.45,13.77,679.92
1135,3.18,0.26,1.24,392.7,4.23,14.96,708.08
1136,3.4,0.35,2.22,458.7,5.27,19.69,855.57
1137,2.35,0.31,1.18,333.6,3.87,13.39,628.85
1138,1.96,0.27,2.1,287.4,5.75,23.06,1028.17
1139,3.01,0.29,1.98,460.4,7.18,29.16,1009.94
1140,2.52,0.25,1.47,414.7,6.7,26.31,1088.18
1141,2.52,0.26,1.88,339.9,5.53,19.46,863.82
1142,2.02,0.23,1.96,348.2,6.85,24.72,1270.32
1143,2.37,0.37,2.44,338.9,4.63,18.73,883.29
1144,2.03,0.22,1.49,289.7,5.58,22.7,1039.64
1145,2.64,0.29,1.71,389.4,5.84,22.17,1037.93
1146,2.7,0.25,1.81,483.9,7.52,19.84,1232.53
1147,2.32,0.26,2.08,368.6,9.52,37.69,1683.14
1148,1.56,0.19,1.73,226.1,2.93,11.09,611.78
1149,1.61,0.25,2.02,203.7,4.58,18.91,963.84
1150,1.94,0.27,2.25,240.4,4.22,18.05,852.08
1151,2.18,0.26,2.05,330,5.85,21.29,902.43
1152,2.03,0.23,2.84,298.2,5.48,24.11,935.98
1153,1.84,0.18,3.29,285.5,6.66,28.97,1094.24
1154,1.99,0.33,2.4,203.8,3.53,16.35,743.54
1155,2.07,0.25,2.03,339.1,11.19,44.96,1852.2
1156,2.06,0.25,3.07,212.3,2.3,12.27,566.6
1157,2.58,0.28,2.07,312.5,7.36,30.42,1313.33
1158,2.43,0.29,1.67,327.3,3.87,14.2,741.37
1159,2.64,0.36,2.09,320,4.64,21.12,957.15
1160,2.25,0.28,1.55,366.8,5.02,17.22,833.52
1161,2.47,0.35,1.56,326.9,4.13,14.41,692.5
1162,2.34,0.28,2.57,272.4,4.22,18.01,760.63
1163,2.77,0.34,1.92,349.6,6.29,23.89,1210.9
1164,2.3,0.24,1.93,262,3.59,13.62,747.75
1165,2.67,0.27,2.23,419.9,6.21,26.33,976.83
1166,2.14,0.27,1.93,260.2,3.11,12.63,682.4
1167,1.82,0.23,2.4,189.7,6.89,28.92,1303.76
1168,1.8,0.23,1.88,302.9,8.51,33.7,1562.92
1169,1.23,0.19,1.95,173.5,4.11,16.64,881.63
1170,2.15,0.33,2.16,237,4.02,15.67,782.01
1171,2.14,0.31,1.73,266.6,5.95,24.1,1020.37
1172,2.13,0.25,2.31,253.1,4.37,19.7,928.85
1173,2.17,0.25,2.5,342.3,5,21.15,832.82
1174,2.72,0.27,1.95,413.7,6.49,25.06,1152.66
1175,3.17,0.34,1.98,427.5,6.63,26.61,1169.5
1176,2.88,0.31,1.92,417.1,8.24,30.46,1201.79
1177,2.62,0.29,2.7,252.7,6.82,28.76,1286.42
1178,2.57,0.26,2.01,340.7,6.3,25.09,1098.48
1179,2.34,0.31,1.71,351.6,5.24,21.3,765.94
1180,2.75,0.28,1.73,367,5.13,20,914.01
1181,2.65,0.31,2.71,265.5,5.2,25.56,1030.84
1182,2.45,0.26,2.08,315.7,7.57,28.62,1300.57
1183,2.45,0.24,2.41,309.1,5.4,22.08,1105.9
1184,2.29,0.3,1.99,335.1,3,9.55,549.47
1185,2.37,0.24,2.2,371.3,5.55,20.22,940.49
1186,1.83,0.23,2.02,315.6,7.89,30.32,1474.84
1187,2.03,0.2,2.28,328.4,6.5,28.37,1281.99
1188,2.74,0.28,2.18,406.5,6.37,23.39,1122.22
1189,2.17,0.2,1.86,317.5,6.4,25.95,1084.03
1190,2.16,0.22,1.97,236.8,5.85,24.94,1197.73
1191,2.12,0.28,1.98,311,4.2,17.04,736.53
1192,1.83,0.26,1.58,275.6,5.33,21.69,921.4
1193,1.99,0.23,1.83,252.6,4,15.55,781.3
1194,1.9,0.24,1.92,312.2,8.91,35.25,1534.09
1195,1.76,0.23,2.17,295.2,6.64,28.12,1266.22
1196,1.63,0.25,2.25,164.8,3.07,15.63,753.21
1197,2.58,0.25,2.38,297.9,7.17,31.76,1135.41
1198,2.25,0.27,2.05,328.3,7.34,28.49,1348.19
1199,2.28,0.25,2.42,253.6,7.34,21.44,989.24
1200,2.47,0.29,1.69,359.5,4.77,18.78,944.77
1201,2.48,0.27,2.07,271.5,5.59,25.14,1116.96
1202,2.01,0.23,1.84,286.2,4.28,16.76,753.84
1203,2.14,0.29,2.13,356.7,3.13,13.57,522.07
1204,2.35,0.37,2.02,289.1,5.54,20.97,1052.63
1205,2.6,0.24,1.99,359.9,5.24,20.41,911.27
1206,1.97,0.26,1.92,233.6,5.45,23.82,1094.49
1207,2.23,0.22,2.19,236.2,4.55,19.66,982.88
1208,1.68,0.23,1.89,257.3,6.82,27.28,1269.6
1209,2.64,0.28,2.34,376.5,3.21,12.78,595.85
1210,2.74,0.27,2.4,374,8.41,37.07,1427.01
1211,2.44,0.35,1.8,318.2,4.2,16.31,789.92
1212,2.09,0.25,1.83,343.3,7.75,29.45,1406.45
1213,2.48,0.43,2.91,235.1,3,13.11,668.17
1214,2.63,0.32,1.93,315.2,3,18.36,917.73
1215,2.68,0.3,1.87,335.2,5.9,25.23,1116.57
1216,2.21,0.26,1.78,281.3,3.27,12.63,629.73
1217,2.88,0.27,1.86,413.4,8.2,31.29,1323.31
1218,2.75,0.36,2.86,260.5,5.14,21.03,1074.69
1219,2.44,0.27,1.52,281.3,5.34,20.68,927.65
1220,1.87,0.23,2.03,281.7,7.71,31,1440.57
1221,1.91,0.23,2,228.8,3.25,12.79,688.16
1222,2.21,0.25,1.91,285.9,5.5,22.32,980.08
1223,2.02,0.22,1.88,320.6,7.33,29.61,1112.99
1224,2.02,0.2,2.16,319,4.87,22.57,1045.38
