OBS,SOIL,CLAI,SILT,SAND,SSA,HIGF,OM,OC,CACO3,CEC,CEC,CMG,CNA,CK,CCA,CMGP,CNAP,CK,CCA,1.4-2,1-1.4,0.5-1,0.25-0.5,0.1-0.25,<0.1,Average,H2O,EC,PH pasta,PH extr.,NO3,CL,HCO3,SO4,Na,K,Mg,Ca,SAR,Fed,Feo,Fec,Fes,Feo/Fed,Fed/Fet,MNd,Mno,MNc,Mno/MNd,ALD,Alo,Alc,ALO/Ald,SIO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,TOTAL,MN,NI,ZN,CU,CO,MO,CR,CD,PB,RB,SR,Y,ZR,NB,BA,TH,U,Smectite,Lllite,Kaolin,Quartz,Calcite,Dolomite,Other
42,H3,41.1952,17.7963,41.0085,286.9,8.53,3.73,1.3,12.68,37.24,37.24,10.78,2.05,1.58,22.83,28.96,5.51,1.58,22.83,13.6,16.9,32.4,15.9,10.9,9.9,0.76,67.95,1.504,8.15,8.3,2.3803,6.1,4.41,1.55,9.4,0.3,2.19,7.31,4.313,8406.1,1554.97,6851.1,11146.2,0.18,0.4,690.23,475.71,214.52,0.69,793.98,2230.33,-1436.4,2.81,52.9,10.5,5.59,1.82,9.33,0.51,1.28,1.1,0.23,16.6,99.86,1001,53,71,-,19,-,126,-,29,54,193,22,464,23,697,-,-,35,-,5,41,13,6,-
43,H4,31.7898,29.1406,39.0696,239.3,5.75,3.78,1.5,34.21,33.73,33.73,5.28,0.49,0.6,27.36,15.66,1.46,0.6,27.36,15.4,10.7,29.4,17.2,14.7,12.6,0.71,58.02,0.674,7.4,8.15,0,1.3,4.3,1.97,1.31,0.1,0.7,4.4,0.82,5361.3,485.48,4875.8,8664.6,0.09,0.37,526.65,275.84,250.81,0.52,624.72,1621.27,-996.6,2.6,40.2,7.51,4.01,1.46,20.3,0.29,0.73,0.78,0.39,24,99.67,693,35,59,-,-,-,90,0.24,-,35,263,36,326,18,568,-,-,30,-,-,30,34,4,1
44,H5,45.9516,14.511,39.5373,231.5,5.37,2.37,0.6,26.83,34.55,34.55,23.09,1.18,1.31,8.97,66.83,3.42,1.31,8.97,11,15.1,19.4,32.4,10.3,11.7,0.66,41.24,0.48,8.2,7.5,0.193,0.8,2.9,1.09,3.82,0.08,1.29,2.29,2.855,8395.2,1587.29,6807.9,10737.4,0.19,0.41,460.47,292.44,168.03,0.64,989.56,2021.38,-1031.8,2.04,42.2,10,5.47,2.53,16.2,0.44,1.4,0.91,0.3,20.8,100.25,693,39,77,12,15,-,103,-,22,61,307,26,289,32,235,-,-,25,2,3,40,27,-,3
45,H6,58.0855,27.0416,14.8729,303.6,7.71,2.01,0.35,20.24,42.94,42.94,33.6,6.7,2,0.65,78.25,15.6,2,0.65,21.6,14.8,35.6,14.4,8.3,5.3,0.88,89.51,4.32,8.25,8.3,0.261,28.3,2.2,10.65,38.46,0.36,5.08,2.19,20.172,9792,2132.48,7659.6,12943.2,0.22,0.39,574.09,408.47,165.62,0.71,1024,1927.51,-903.5,1.88,44.9,11.6,6.5,2.78,11.7,0.68,1.48,1.1,0.22,18.5,99.46,847,56,80,18,20,-,119,0.84,33,55,277,32,306,29,416,43,-,40,2,10,15,20,-,13
46,H7,65.3168,24.4938,10.1894,329.2,8.23,2.31,0.33,13.15,48.35,48.35,24.78,6.9,2.07,14.61,51.25,14.26,2.07,14.61,22,16,31.2,14.9,9.1,5.9,0.87,98.1,3.05,8.2,7.85,0.3529,3.9,1.69,65.5,46.3,0.43,5.58,5.68,19.513,11480.7,2314.75,9166,13702.9,0.2,0.42,625.19,464.83,160.36,0.74,2293.03,2174.06,119,0.95,47.5,12.8,7.2,2.8,8.53,0.7,1.43,1.25,0.23,16.9,99.34,847,61,118,21,22,-,132,-,42,60,264,33,335,30,564,49,-,50,-,15,10,14,5,6
47,H8,28.7236,27.4702,43.8061,172.6,4.29,2.26,0.73,23,27.13,27.13,25.3,1.34,2.02,-1.52,93.22,4.93,2.02,-1.52,4.5,4.9,17.1,16.2,32.9,24.8,0.39,43.73,19.7,7.25,7.6,-,300,1.4,2.44,122.1,2,58.41,66.31,15.462,11890.5,1431.41,10459.1,5947.9,0.12,0.62,566.31,378.64,187.68,0.67,1403.96,1497.88,-93.9,1.07,42.9,9.47,5.1,4.05,14.4,0.46,1.54,0.92,0.17,20.3,99.31,770,36,78,13,18,-,94,0.3,19,48,229,40,340,12,269,11,-,5,10,10,43,23,3,6
48,H9,22.3005,36.0649,41.6347,179.1,6.07,1.69,0.56,26.43,25,25,8.87,0.91,1.78,13.43,35.48,3.66,1.78,13.43,8.8,8.7,25.8,17.1,18.7,20.7,0.55,53.95,5.44,7.6,8,2,8.6,2,27.3,12.39,4.62,24.64,33.21,2.304,7103.1,1221.36,5881.8,7832.2,0.17,0.44,416.84,271.11,145.74,0.65,1378.76,1692.75,-314,1.23,36.9,8.13,4.27,3.14,19.7,0.33,1.52,0.72,0.34,20.7,96.02,616,49,89,11,-,12,93,1,44,49,502,29,197,17,222,-,22,5,5,15,42,26,7,-
49,H10,46.3154,30.8769,22.8077,98.2,2.38,1.75,0.59,48.65,21.11,21.11,15.86,0.85,1.61,2.79,75.15,4.01,1.61,2.79,13.7,9.2,2.5,15.9,24.9,11.5,0.47,53.92,3.49,7.55,8.3,2.6693,12,4.04,40.9,10.86,3.24,3.98,24.57,2.874,5254.3,514.58,4739.7,4609.3,0.1,0.51,210.26,137.74,72.52,0.66,398.17,925.17,-527,2.32,29.8,5.21,2.82,2.09,30,0.27,0.78,0.61,0.83,27.2,99.61,308,32,80,-,-,-,74,-,18,28,498,18,266,21,428,-,22,10,10,10,23,49,1,-
50,H11,19.2939,23.0911,57.6149,97.7,2.4,1.33,0.56,52.15,17.57,17.57,5.55,0.79,0.65,10.57,31.61,4.52,0.65,10.57,3.9,6.1,18.5,16,38.9,16.6,0.41,35.18,2.31,7.5,7.9,0.255,16.6,2.5,3.97,15.31,0.35,2.54,6.869,7.059,5523,538.23,4984.8,4410.5,0.1,0.53,214.01,149.09,64.92,0.7,431.67,898.29,-466.6,2.08,29.7,5.22,2.84,2.1,30.1,0.26,0.77,0.61,0.83,27.5,99.93,308,35,81,-,-,-,70,3.2,18,32,503,18,283,-,421,-,23,5,-,5,36,52,2,-
51,H12,25.8668,48.9077,25.2255,149,7.86,3.9,1.36,30.88,21.22,21.22,16.43,1.27,2.34,1.17,77.42,6.01,2.34,1.17,4.8,5.3,33.7,39.3,15.9,0.9,0.57,44.65,88.1,7.1,7.4,8.327,2200,1.24,11.8,4738.8,277.94,398.35,130.12,291.523,5025.8,947.59,4078.2,6586.7,0.19,0.4,205.14,162.4,42.75,0.79,383.86,1096.36,-712.5,2.86,35.3,6.33,3.32,3.77,21.1,0.8,0.55,0.62,0.28,28.1,100.17,462,49,68,-,12,-,85,-,-,17,831,14,238,22,361,-,-,20,15,10,24,31,-,-
52,H13,46.8113,12.4463,40.7424,303.5,8.26,3.22,1.2,13.72,47.5,47.5,17.1,0.76,2.33,27.31,36.01,1.61,2.33,27.31,13.8,13.5,33.9,19.1,12.2,4.4,0.74,72.09,0.864,7.5,8.45,0.047,1.6,4.9,3.85,2.16,0.57,2.15,5.782,1.085,8782,1522.62,7259.4,11260,0.17,0.41,699.02,602.52,96.5,0.86,1021.72,2296.45,-1274.7,2.25,51,10.5,5.73,1.88,9.1,0.38,1.24,1.07,0.3,17.7,98.9,924,52,99,27,20,-,122,0.24,-,56,183,46,398,18,409,12,-,30,10,5,41,14,-,-
53,H14,58.3852,16.6815,24.9333,281.3,2.8,3.12,1.22,27.97,38.42,38.42,22.4,1.98,1.69,12.35,58.3,5.15,1.69,12.35,10.8,12.3,33.6,19.5,14.4,9.3,0.68,69.21,1.252,8.05,8.1,0.3234,8,3.56,1.36,8.33,0.21,2.89,5.19,4.144,6006.5,1427.39,4579.1,12566.5,0.24,0.3,295.22,213.45,81.76,0.72,818.9,1976.22,-1157.3,2.41,38.4,9.36,5.31,4.11,16.3,0.26,1.12,0.82,0.26,24.2,100.14,616,38,76,17,15,,82,-,29,61,279,18,178,15,226,16,-,10,25,10,25,28,-,2
54,J1,50.6432,24.6842,24.6726,189.4,11.12,2.42,1.14,38.95,31.38,31.38,23.35,1.3,2.72,4.01,74.41,4.14,2.72,4.01,12.8,10.9,40.7,26.3,9,0.3,0.77,52.57,2.24,7.7,7.8,9.862,6.2,2,3.03,7.34,2.2,4,7.413,3.073,6777,1363.3,5413.7,7668.6,0.2,0.43,294.14,212.8,81.34,0.72,1210.39,1515.31,-304.9,1.25,30.2,8.09,4.13,3.7,24.3,0.24,1.25,0.56,0.6,27.1,100.17,539,60,125,14,11,11,114,2.3,26,33,619,34,117,-,241,42,-,5,34,2,20,35,2,1
55,J2,42.9553,40.0916,16.953,348.8,9.67,4.53,2.07,14.61,58.09,58.09,13.22,1.11,2.46,41.3,22.75,1.91,2.46,41.3,7,9.5,31.9,22.1,19,10.4,0.59,75.07,1.625,7.45,8.5,0.136,6.3,6.2,6.55,4.23,49.02,3.04,11.29,1.58,14342.2,2273.24,12069,9687.2,0.16,0.55,660.81,542.23,118.59,0.82,1059.42,2865.63,-1770.2,2.7,46.1,11.7,6.87,2.05,9.73,0.26,1.38,1.22,0.28,20.5,100.09,1001,75,155,-,20,-,141,0.66,30,62,142,45,333,38,307,-,-,45,5,10,20,15,-,5
56,J3,22.0306,23.3815,54.588,116.9,3.58,2.35,1.14,33.34,20.86,20.86,6.79,0.65,1.32,12.1,32.55,3.13,1.32,12.1,9.6,7.9,22.9,17.3,21.4,20.9,0.54,44.53,0.704,7.5,8.3,0.021,1.2,5.6,0.92,1.79,0.78,1.78,4.803,0.986,3535.9,707.76,2828.1,7342,0.2,0.31,197.42,145.88,51.55,0.74,357.59,838.13,-480.5,2.34,43.2,6.36,3.11,2.09,19.9,0.51,1.09,0.71,0.16,22.4,99.53,462,36,40,-,-,-,65,0.04,-,40,421,17,373,18,640,-,-,5,5,10,37,33,-,10
57,W1,12.648,15.1776,72.1744,81,1.34,0.87,0.36,16.06,110.93,10.93,2.72,0.65,0.61,6.94,24.88,5.99,0.61,6.96,4.3,3.2,14.7,34.2,31.9,11.6,0.41,25.42,1.478,7.6,8.25,0.223,7.8,2.2,5.84,8.86,1.32,1.68,4.368,5.094,4413.8,380.27,4033.6,1497.3,0.09,0.7,129.42,76.08,53.34,0.59,483.1,662.31,-179.2,1.37,64.2,4.31,1.69,0.69,14.4,0.14,0.87,0.29,3.63,9.47,99.69,231,16,85,-,-,-,56,2.6,22,41,421,-,156,14,254,-,20,-,2,10,70,16,-,2
58,O1,20.6633,30.9949,48.3418,107.6,2.81,2.56,1.17,55.89,21.89,21.89,8.03,0.62,0.6,12.64,36.66,2.83,0.6,12.64,10.6,8.6,23.1,16.6,30.3,10.8,0.57,42.66,0.856,7.6,8.1,0.03,2.6,3.5,3.26,2.21,0.21,2,5.456,1.145,4849.1,685.33,4163.7,4524.9,0.14,0.48,149.04,92.03,57.01,0.62,543.16,1023.44,-480.3,1.88,22.8,5.07,2.68,2.79,32.4,0.17,0.52,0.45,0.25,32.8,99.93,231,21,43,-,-,-,31,1.4,17,15,371,-,144,22,295,-,-,2,5,25,10,54,2,2
59,O2,24.6029,59.6906,15.7064,176.3,3.69,2.3,1.1,74.27,23.82,23.82,3.58,1.19,0.02,19.03,15.04,4.98,0.02,19.03,13.6,11.1,30.3,21.6,19.6,3.9,0.71,53.4,15.42,7,7,6.992,165,1,1.15,44.02,0.21,21.9,99.62,5.647,8372,259.11,8112.9,337.3,0.03,0.93,43.13,13.1,30.03,0.3,390.62,381.67,9,0.98,13.6,4.99,2.49,0.77,10.3,0.06,0.12,0.23,1.01,36.3,99.87,-,67,112,16,-,14,150,0.99,37,10,1170,14,13,15,930,-,28,2,3,-,5,75,2,13
60,O3,29.2367,22.5388,48.2245,166.6,5.29,2,0.3,56.96,18.08,18.08,6.4,6.85,0.29,4.54,35.38,37.91,0.29,4.54,6.5,5.9,26,28.9,22.3,10.3,0.53,39.14,68.3,7,7.05,8.885,1400,1.02,14.5,865.3,2.36,1145.65,-,-,4742.1,780.82,3961.2,6905.4,0.16,0.38,195.49,137.48,58.02,0.7,653.71,432.41,221.3,0.66,26.4,4.02,3.33,1.74,31.3,0.62,0.29,0.35,0.37,29.8,98.22,616,65,93,-,-,-,30,-,-,26,2100,25,158,15,16000,-,-,-,5,5,25,57,2,6
61,O4,20.6932,33.6265,45.6803,136,2.5,0.92,0.25,64.28,13.78,13.78,6.32,1.61,1.09,6.76,31.38,11.65,1.09,6.76,4,4,13,19.3,49.6,10.1,0.37,40.84,4.82,7.25,7.7,0.796,40,2.2,2.39,34.95,1.24,3.81,10.023,13.288,2954.6,381.7,2572.9,1440.8,0.13,0.4,132.02,93.85,38.16,0.71,188.73,460.72,-272,2.44,24.4,4.49,2.02,1.62,35.5,0.24,0.54,0.3,0.39,30.8,100.3,308,46,80,-,-,-,38,0.84,24,26,815,34,112,-,1043,-,-,-,3,2,30,64,1,5
62,K1,4.126,61.1292,34.7448,194.7,7.17,2.71,1.33,42.77,22.23,22.23,6.87,0.77,1.56,13.03,30.9,3.47,1.56,13.03,2.5,4.7,11.3,15.5,51,15,0.33,59.77,37.7,7.3,6.95,3.473,485,1.7,8.65,157.12,11.98,164.24,192.61,11.763,1846.1,1383.54,462.6,6373.6,0.75,0.19,374.65,515,-140.35,1.37,403.15,1047.39,-644.2,2.6,20.8,3.96,2.35,5.29,28.5,0.3,0.39,0.34,0.26,30,92.19,1078,32,93,-,-,-,33,-,26,32,992,-,77,13,195,-,13,-,-,30,18,40,12,-
63,K2,38.9125,38.9125,22.175,116.2,3.19,2.87,1.27,58.97,14.75,14.75,4.2,0.86,1.63,8.06,28.45,5.85,1.63,8.06,12.5,101,29.3,19.8,17.7,10.6,0.66,62.82,4.8,7.2,8.3,0.587,23.8,13.8,22.95,14.3,4.48,18,23.942,3.123,2792.5,561.81,2230.7,4447.8,0.2,0.36,163,114.54,48.46,0.7,398.71,305.6,93.1,0.77,21.1,3.8,2.07,2.81,35.3,0.14,0.52,0.26,0.53,33.3,99.83,308,73,92,-,-,-,67,0.44,19,20,1000,19,39,15,1091,-,22,-,-,-,15,59,1,25
64,K3,31.1923,34.018,34.7897,154.2,6.96,3.23,1.58,59.32,24.22,24.22,10.73,0.61,1.52,11.36,44.31,2.53,1.52,11.36,5.1,6,19.9,21.5,27.2,20.3,0.44,52.1,7.97,7.55,7.8,1.165,18.1,3.6,8.3,98.11,2.74,-,16.003,-,556.9,816.29,-259.4,6298.7,1.47,0.07,427.51,471.22,-43.71,1.1,180.29,597.89,-417.6,3.32,21.3,3.56,1.96,4.16,33.3,0.19,0.43,0.28,0.48,34.4,100.06,1001,20,57,-,-,-,-,0.04,-,17,782,-,49,15,371,71,11,-,15,-,15,59,1,10
65,K4,35.9792,33.2116,30.8093,128.2,8.42,3.46,1.46,64.54,20.87,20.87,8.58,0.79,0.99,10.52,41.09,3.77,0.99,10.52,6.4,7.6,25.1,22.6,34.1,4.2,0.53,50.24,30,7.35,7.45,16.599,320,2.6,46.8,198.23,5.48,87.59,66.41,22.59,855.4,608.54,246.9,5580.4,0.71,0.12,145.17,103.18,41.99,0.71,278.12,467.96,-189.8,1.68,17,3.46,1.84,2.9,36.6,0.18,0.22,0.27,0.23,37.5,100.2,308,17,43,14,-,-,-,0.06,12,23,603,-,42,14,161,55,16,-,15,-,10,65,1,9
66,K5,38.3637,25.2226,36.4137,122.5,4.88,2.84,1.42,65.95,18.65,18.65,8.93,0.85,0.77,8.1,47.88,4.56,0.77,8.1,7.3,8.6,27.3,18.6,19.2,18.9,0.54,47.41,1.565,7.5,7.9,0.323,9.3,4.5,2.09,6.6,0.63,3.15,5.673,3.143,725.4,561.16,146.2,5500.6,0.77,0.11,5087,49.4,1.47,0.01,184.86,451.25,-266.4,2.44,16.9,3.57,1.78,2.62,37.6,0.09,0.36,0.26,0.19,36.8,100.17,77,13,27,-,-,-,-,-,10,23,494,-,44,15,173,27,-,3,12,3,10,66,-,6
67,K6,21.1082,21.1082,57.7836,99.4,4.35,2.93,1.64,65.44,20.36,20.36,7.28,1.94,2.46,8.68,35.74,9.53,2.46,8.68,4.9,6.4,21.4,19.8,27,20.5,0.45,45.85,2.44,7.85,7.9,0.246,16.1,4.1,4.32,14.8,1.97,3.2,6.761,6.63,821.3,530.74,290.5,5544.6,0.65,0.12,78.75,78.58,0.17,1,281.09,770.23,-489.1,2.74,19.1,3.59,1.82,1.97,36.7,0.16,0.68,0.31,0.82,34.9,100.05,154,10,63,-,-,-,-,0.08,37,25,470,-,62,14,168,-,17,3,10,2,20,65,-,-
68,K7,31.9829,29.3177,38.6994,130.4,5.4,2.74,1.3,63.41,21.26,21.26,7.44,0.78,1.03,12,35.01,3.68,1.03,12,6.2,6.7,23.2,20.8,26.7,16.4,0.49,45.2,0.961,7.85,8,0.072,3.2,4.9,2.85,5.13,0.47,2.42,3.933,2.879,1732.5,605.05,1127.4,5962.5,0.35,0.21,90.19,59.8,30.39,0.66,362.31,565.98,-203.7,1.56,18.2,4.32,2.2,2.17,36.1,0.12,0.46,0.33,0.22,35.9,100.02,154,23,62,-,-,-,-,-,22,20,448,14,60,13,171,34,25,-,10,2,10,63,-,15
69,K8,46.481,31.572,21.9469,200.8,7.71,3.2,1.32,43.24,29.43,29.43,-,1.52,1.52,-,-,5.15,1.52,-,10.5,12,33.1,18.5,15.5,10.1,0.67,63.55,5.93,7.9,7.55,0.504,50,3.7,13.35,38.48,0.02,16.42,9.262,10.738,2428.9,1084.15,1344.8,11562,0.45,0.16,219.12,168.46,50.66,0.77,522.73,1085.23,-562.5,2.08,30,6.94,4,3.27,25,0.35,0.97,0.63,0.44,28.6,100.2,462,56,83,17,-,-,83,0.8,26,40,658,18,108,16,265,11,11,5,15,5,25,43,2,5
70,P1,14.3615,29.8678,55.7706,173,4.87,1.14,0.28,47.83,14.1,14.1,2.29,0.33,0.37,11.12,16.24,2.31,0.37,11.12,7.1,5.5,20.1,18.3,39.6,9.4,0.48,35.01,2.59,7.4,6.9,0.142,1,1.6,37.4,2.36,0.44,2.39,35.87,0.54,3785.2,380.97,3404.3,4959.1,0.1,0.41,102.29,54.6,47.68,0.53,364.17,496.75,-132.6,1.36,28.9,4.8,2.5,1.36,32.8,0.21,0.6,0.52,0.13,27.2,99.02,154,14,45,27,-,-,26,-,42,37,658,14,237,31,373,-,-,8,10,15,20,47,-,-
71,P2,59.9583,33.8895,6.1522,228.7,4.49,1.19,0.19,55.15,27.51,27.51,4.38,2.97,0.54,19.62,15.92,10.8,0.54,19.62,9.3,12.9,47.8,20.5,7.4,2.6,0.76,57.3,6.12,7.84,7.35,1.029,13.6,1,66.7,49.56,0.24,10.95,24.812,11.72,11637.1,596.48,11040.6,2878.5,0.05,0.77,92.27,41.41,50.85,0.45,766.63,822.26,-55.6,1.07,22,9.77,4.15,0.83,31.5,0.21,0.56,0.35,1.6,29,99.97,-,108,107,46,12,-,247,0.68,15,34,611,29,23,13,548,-,27,10,2,15,5,55,3,10
72,P3,8.7923,13.9464,77.2612,85.2,1.32,0.62,0.19,57.96,7.49,7.49,6.3,0.96,0.4,-0.17,84.14,12.77,0.4,-0.17,4.2,4.2,13.2,15.7,51.3,22,0.37,25.94,1.017,7.55,7.9,0.1433,3.3,2.19,6.09,3.94,0.57,3.09,6.82,1.77,2760,419.34,2340.7,2906.3,0.15,0.45,95.75,62.62,33.13,0.65,197.72,411.24,-213.5,2.08,25.3,2.88,1.62,1.91,36.5,0.17,0.46,0.3,1.96,29,100.1,154,29,45,-,-,-,13,-,-,19,575,11,189,18,774,-,-,2,-,5,25,58,10,-
73,S1,15.4321,10.8025,73.7654,85.3,2.52,1.16,0.43,12.91,13.78,13.78,6.88,0.52,0.58,5.79,49.96,3.78,0.58,5.79,4,3.6,13,29,35.4,14.9,0.38,32.03,0.673,7,7.8,0.436,0.6,4.8,0.74,1.36,0.29,1.72,5.98,0.693,3169.2,622.76,2546.5,5959.8,0.2,0.32,151.53,148.08,3.45,0.98,361.09,637.46,-276.4,1.77,69.1,5.57,2.61,1.24,8.59,0.69,0.92,0.81,0.1,9.54,99.17,385,11,46,-,-,-,87,0.06,-,39,291,-,484,-,280,-,-,3,3,2,67,13,2,10
74,S2,14.0182,7.6742,78.3076,78.3,2.18,1.43,0.54,6.26,13.34,13.34,4.82,0.4,0.79,7.33,36.13,2.96,0.79,7.33,2.6,3.2,8.2,21.3,47.6,17.1,0.31,35.16,0.986,7,7.35,0.006,1.5,6.7,0.82,1.95,0.6,2.03,5.62,0.997,3376.4,582.44,2794,5857.6,0.17,0.34,180.68,210.52,-29.84,1.17,338.68,775.59,-436.9,2.29,73.3,6.41,2.64,1.12,5.14,0.91,1.18,0.84,0.1,7.16,98.8,462,17,34,-,-,-,101,0.08,11,44,261,36,628,14,394,-,-,4,3,2,70,6,-,15
75,S3,15.4719,14.2341,70.294,102.5,2.83,1.4,0.5,10.57,16.3,16.3,6.11,0.63,0.86,8.7,37.49,3.84,0.86,8.7,5.4,5.92,12.9,8.6,48.7,18.3,0.38,38.54,0.798,7.5,7.85,4.724,1,2.96,1.27,2.89,0.44,2.79,9.48,1.155,3882.1,1035.26,2846.9,6646,0.27,0.34,205.53,163.3,42.23,0.79,417.54,1125.07,-707.5,2.69,65.8,7.47,3.01,1.62,8.16,0.95,1.3,0.82,0.14,10.6,99.87,462,11,60,-,-,-,95,-,33,51,316,47,533,18,368,54,-,-,3,2,75,11,2,7
76,S4,10.1885,3.8716,85.9399,54.9,1.64,1,0.38,5.03,9.57,9.57,3.48,0.5,0.54,5.06,36.38,5.21,0.54,5.06,1.1,2.1,7.45,20.5,50.9,17.8,0.27,35.17,0.904,7.9,8.2,0.2243,1.1,4.99,4.45,9.68,0.33,1.29,3.2,6.461,2330.6,612.89,1717.7,3545.6,0.26,0.36,108.08,107.06,1.02,0.99,214.29,603.27,-389,2.82,78.9,5.36,1.68,0.81,4.3,0.87,0.98,0.63,0.09,5.62,99.24,308,10,54,-,-,-,79,-,-,42,223,-,469,14,370,-,-,-,2,-,85,5,-,8
77,S5,7.6049,7.6049,84.79,38.5,1.17,1.05,0.45,18.18,7.22,7.22,3.33,0.27,0.47,3.15,46.09,3.74,0.47,3.15,2.3,2.6,11.1,38.5,34.6,10.8,0.36,26.73,0.793,7.2,7.6,0.0119,0.8,6.4,0.86,1.36,0.74,1.86,5.79,0.695,1657.6,376.13,1281.4,2714.6,0.23,0.35,66.03,45.73,20.3,0.69,157.83,397.17,-239.3,2.52,72.1,2.75,1.25,0.52,10.7,0.29,0.51,0.45,0.06,10.4,99.03,154,10,24,-,-,-,44,0.06,16,14,235,-,280,10,165,-,-,-,2,-,78,18,-,2
78,S6,15.4719,12.8932,71.6349,93.4,2.92,1.43,0.53,11.55,14.94,14.94,5.75,0.43,0.88,7.88,38.51,2.9,0.88,7.88,4.8,5.3,12.4,9.4,48.2,19.7,0.36,37.78,0.548,7.6,7.95,0.1147,0.6,4.78,0.18,2.66,0.38,1.79,4.83,1.462,3997.5,954.58,3043,6460.7,0.24,0.35,199.77,164.71,35.06,0.82,354.09,940.03,-585.9,2.65,66.5,7.12,2.99,1.54,8.03,0.88,1.34,0.72,0.11,10,99.23,462,15,36,-,-,-,82,-,-,34,296,22,448,20,385,11,15,-,2,3,77,12,2,4
79,S7,15.5747,12.9789,71.4464,90.8,3.24,1.59,0.6,13.27,15.27,15.27,5.69,0.89,1.08,7.61,37.27,5.82,1.08,7.61,4.1,5.4,14.3,12,46.4,17.6,0.37,38.68,1.98,7.25,8.05,0.0284,8.2,8.4,4.22,15.71,0.78,2.15,5.43,8.07,3791.5,948.88,2842.7,7086.4,0.25,0.32,187.89,164.77,23.13,0.88,258.5,871.46,-613,3.37,0.4,6.96,3.11,1.61,8.9,0.92,1.32,0.79,0.11,11,99.12,462,24,41,-,-,-,90,0.08,29,44,290,25,517,16,339,-,-,-,2,5,73,18,-,2
80,S8,24.557,18.1328,57.3101,123.9,3.43,1.61,0.49,17,20.21,20.21,8,0.53,0.79,10.88,39.6,2.65,0.79,10.88,5,5.6,15.3,11.2,29.3,33.4,0.37,43.78,0.353,7.95,7.9,0.2209,0.5,2.47,0.18,2.36,0.13,1.39,3.68,1.482,4607.1,1081.12,3526,8439.4,0.23,0.33,244.75,187.79,56.96,0.77,375.73,1307.89,-932.2,3.48,58.1,8.04,3.73,2.02,10.9,0.75,1.41,0.81,0.12,13.6,99.48,539,27,42,-,-,-,88,-,35,55,359,23,452,32,372,11,-,2,2,2,60,17,-,17
81,S9,8.8703,8.9723,82.1574,63.3,1.73,1.35,0.52,18.01,10.01,10.01,4.31,0.32,0.66,4.72,43.09,3.19,0.66,4.72,2.8,3.4,9.8,10.7,48.1,25.1,0.29,28.82,0.79,7.1,7.6,0.0111,1.3,6.4,0.26,1.31,0.6,2.04,6.04,0.652,3194.4,760.16,2434.2,5060.3,0.24,0.35,151.61,124.96,26.65,0.82,366.06,726.39,-360.3,1.98,64.3,5.64,2.36,1.26,11.9,0.71,1.12,0.71,0.09,11.6,99.69,385,12,29,-,-,-,69,0.02,-,25,269,28,513,25,301,28,-,2,-,2,73,18,-,5
82,S10,19.2268,10.011,66.7621,96.2,2.37,1.44,0.56,25.77,13.24,13.24,5.57,0.36,0.48,6.82,42.09,2.75,0.48,6.82,6.4,5.6,15.4,13.3,24.6,34.8,0.4,38.35,0.426,7.8,8.7,0.0415,1.1,2.77,0.45,1.59,0.16,1.49,4.05,0.955,3867.5,880.92,2986.6,6345.9,0.23,0.35,161.14,101.21,59.92,0.63,624.82,922.59,-297.8,1.48,55.2,6.08,2.92,1.76,15.6,0.61,1.06,0.76,0.1,15.8,99.89,385,10,40,-,-,-,70,-,16,34,343,18,491,19,283,-,-,3,6,4,58,26,-,3
83,S11,16.6871,19.1441,64.1687,69.7,2.3,1.03,0.36,41.79,9.63,9.63,4.34,0.34,0.58,4.38,45.02,3.51,0.58,4.38,7.1,6.1,15.4,13.6,43,14.7,0.44,31.3,0.607,7.1,7.65,0.0098,1,4.1,1.09,1.46,0.84,1.39,3.86,0.901,1937.6,437.31,1500.2,3868.7,0.23,0.31,80.72,42.29,38.43,0.52,303.5,366.42,-62.9,1.21,48,3.34,1.66,1.11,23.9,0.25,0.61,0.41,0.07,20.8,100.15,154,13,22,-,-,-,26,0.04,17,18,314,11,289,29,229,-,-,3,8,-,45,42,-,2
84,S12,14.1032,11.4461,74.4507,78.6,2.34,1.93,0.89,21.94,12.9,12.9,4.86,0.38,0.86,6.81,37.63,2.98,0.86,6.81,4.1,4.6,13.4,10.2,41.6,25.9,0.34,39.21,0.571,7.4,7.8,0.074,1,5.11,0.36,1.47,0.65,1.99,6.22,0.726,3924.5,800.44,3124.1,6253.9,0.2,0.36,153.92,118.68,35.24,0.77,439.52,680.46,-240.9,1.55,56.9,6.34,2.91,1.67,13.5,0.76,1.25,0.86,0.11,14.8,99.07,385,10,35,-,-,-,83,-,15,38,358,24,570,19,328,15,-,2,2,2,61,23,-,10
85,S13,14.243,20.642,65.1151,104.6,3.25,1.77,0.75,23.32,15.89,15.89,5.63,0.41,1.24,8.61,35.42,2.57,1.24,8.61,4.3,5.3,15.8,10.9,40.3,23.4,0.37,-,-,-,-,-,-,-,-,4.75,0.28,7.67,2.9,2.066,3696.6,819.36,2877.3,8020.8,0.22,0.29,174.32,119.74,54.58,0.69,387.91,658.25,-270.3,1.7,53.2,6.82,3.35,1.96,15.2,0.81,1.35,0.83,0.18,16.2,99.9,462,17,39,-,-,-,76,-,15,51,449,-,496,16,343,35,12,2,3,2,62,23,5,3
