OBS,SOIL,CLAI,SILT,SAND,SSA,HIGF,OM,OC,CACO3,CEC,CEC,CMG,CNA,CK,CCA,CMGP,CNAP,CK,CCA,1.4-2,1-1.4,0.5-1,0.25-0.5,0.1-0.25,<0.1,Average,H2O,EC,PH pasta,PH extr.,NO3,CL,HCO3,SO4,Na,K,Mg,Ca,SAR,Fed,Feo,Fec,Fes,Feo/Fed,Fed/Fet,MNd,Mno,MNc,Mno/MNd,ALD,Alo,Alc,ALO/Ald,SIO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,TOTAL,MN,NI,ZN,CU,CO,MO,CR,CD,PB,RB,SR,Y,ZR,NB,BA,TH,U,Smectite,Lllite,Kaolin,Quartz,Calcite,Dolomite,Other
11,EC2,6.3196,0,93.6804,10.9,0.27,0.1,0.04,13.05,1.47,1.47,1.11,0.37,0.03,-0.04,75.4,25.06,0.03,-0.04,1.8,1.1,3.8,65.5,27.2,0.6,0.36,34.79,0.1277,8.05,7.25,0.009,0.4,0.81,0.06,0.28,0.06,0.06,1.69,0.299,808.6,58.58,750,-4.1,0.07,0.94,55.3,65.38,-10.08,1.18,39.56,98.49,-58.9,2.49,84.6,0.86,0.23,0.03,7.67,0.08,0.23,0.05,0.04,6,99.79,-,10,-,-,-,-,19,0.18,17,20,58,19,21,20,86,33,-,-,-,-,87,13,-,-
12,C1,25.6226,44.8908,29.4865,88.4,2.38,1.44,0.53,65.33,13.23,13.23,2.52,0.55,0.14,10.01,19.08,4.18,0.14,10.01,11.6,8.6,29.5,21.4,21.6,7.3,0.64,48.9,0.901,7,7.9,0.373,2.3,3.24,4.887,3.69,0.1,1.69,7.12,1.758,1206.7,202.16,1004.6,3340.3,0.17,0.25,304.16,201.37,102.79,0.66,142.61,365.38,-222.8,2.56,24.6,2.26,1.3,1.28,37.1,-,0.19,0.18,0.18,32.5,-,770,30,34,-,-,-,-,-,-,28,5040,-,-,-,1743,-,13,4,10,-,20,65,1,-
13,C2,19.1798,22.9545,57.8657,80,2.7,1.02,0.41,40.27,12.89,12.89,2.62,0.44,0.2,9.64,20.33,3.37,0.2,9.64,6.1,4.1,12.1,19.9,47.7,10.1,0.4,35.46,0.553,7.4,8,0.072,0.6,6.02,2.45,0.68,0.13,0.89,4.65,0.409,1967.3,207.41,1759.9,3104.4,0.11,0.37,110.81,108.69,2.12,0.98,196.82,426.36,-229.5,2.17,51.7,3.14,1.45,0.51,22.6,0.1,0.5,0.26,0.08,19.6,99.94,154,10,20,-,-,-,14,-,34,19,107,10,96,12,195,23,21,10,-,5,43,40,1,-
14,C3,25.6832,14.1771,60.1397,108.5,1.89,1.49,0.6,24.21,17.07,17.07,3.52,0.53,0.59,12.42,20.65,3.11,0.59,12.42,5.5,4,11.8,19,50.4,9.3,0.39,40.06,0.646,7.35,8,0.036,1,8.56,2.64,0.84,0.47,1.08,6.04,0.445,3034.6,375.85,2658.7,4415.6,0.12,0.39,107.14,80.67,26.48,0.75,271.19,555.62,-284.4,2.05,61.5,4.54,2.13,0.66,14.7,0.15,0.76,0.43,0.09,14.8,99.76,231,10,31,-,-,-,42,-,15,29,110,22,176,17,190,17,-,10,-,-,60,24,-,6
15,C4,35.3298,9.1983,55.4719,184.2,4.22,1.91,0.73,11.75,26.54,26.54,4.96,0.55,0.57,20.46,18.68,2.08,0.57,20.46,5.9,4.5,15.6,13.6,43.4,7,0.4,48.91,0.609,7.4,8.35,0,0.9,8.04,2.91,0.84,0.14,1.22,6.16,0.437,3972.6,624.07,3348.6,7674.8,0.16,0.32,218.39,204.62,13.77,0.94,463.54,752.52,-289,1.62,67.2,6.38,3.33,1.01,7.8,0.24,0.83,0.64,0.11,11.5,99.04,462,29,38,-,-,-,79,0.16,26,37,112,27,278,15,298,17,-,30,-,-,55,12,-,3
16,C5,42.6037,31.2564,26.1399,120,3.02,2.67,1.33,68.17,22.28,22.28,2.74,0.57,0.32,18.65,12.29,2.54,0.32,18.65,10.7,8.2,31.8,24,19.8,5.6,0.64,52.61,0.644,7.3,7.5,0.209,0.8,3.8,1.86,1.4,0.21,1,4.63,0.834,2711.6,190.24,2521.4,4563.6,0.07,0.36,83.86,23.28,60.58,0.28,329.84,350.06,-20.2,1.06,17.2,4.01,2.08,0.81,39.1,0.08,0.26,0.3,1.44,34.8,100.08,154,41,57,12,-,-,74,-,26,10,591,24,87,14,794,-,15,15,-,-,17,68,-,-
17,C6,,,,195.2,6.12,10.7,5.38,47.55,27.91,27.91,4.01,0.75,0.7,22.45,14.38,2.69,0.7,22.45,19.6,10.2,32.4,17.4,14.3,6.1,0.79,82.43,1.351,6.7,8.05,0.225,1.5,26.08,2.09,2.21,0.49,2.88,14.25,0.755,1627.5,537.27,1090.2,6697.1,0.33,0.18,459.2,476.07,-16.87,1.04,212.14,375.89,-163.8,1.77,25.3,4.5,2.38,1.93,28.2,0.07,0.43,0.24,0.56,36,99.61,1232,145,95,-,-,-,59,0.38,-,17,682,59,36,-,6383,-,-,15,5,5,26,48,1,-
18,C7,39.9446,1.2782,58.7772,194.7,7.02,4.24,5.33,46.81,24.49,24.49,2.75,0.75,0.46,20.53,11.22,3.06,0.46,20.53,16.4,9.3,35.5,20.9,13.2,4.7,0.76,72.95,0.631,7.2,7.7,7.2,1.2,5.08,0.55,1.97,0.11,1.29,6.94,0.971,1865.4,591.18,1274.2,6424.3,0.32,0.21,500.64,459.12,41.52,0.92,229.45,412.38,-182.9,1.8,25.3,4.5,2.37,1.93,28.1,0.06,0.44,0.25,0.56,35.5,99.01,1232,142,94,14,-,-,56,-,38,29,698,34,38,20,7830,-,11,25,10,-,28,47,1,-
19,C7,56.2775,36.6799,7.0425,208.7,4.88,4.95,2.23,59.77,27.31,27.31,3.42,0.65,0.89,22.35,12.51,2.39,0.89,22.35,23.6,12.9,36.1,13.6,9.3,4.5,0.9,66.59,1.151,6.6,8.2,0.094,1.6,21.55,2,1.32,0.49,2.14,12.68,0.485,1285.4,488.01,797.4,7598.8,0.38,0.14,107.13,53.31,53.82,0.5,299.17,372.69,-73.5,1.25,21,5.84,2.54,1.88,32.8,0.1,0.25,0.25,0.48,34.8,99.94,231,49,47,-,-,-,74,-,25,25,775,37,34,15,2220,-,31,15,10,3,7,60,1,10
20,C8,45.1839,0,54.8161,233.6,5.83,3.31,1.17,51.4,29.57,29.57,4.19,0.6,0.45,24.34,14.16,2.03,0.45,24.34,22.6,13.6,36.5,15.8,8.1,3.6,0.9,57.7,0.552,7.15,8.3,0.033,0.8,8.89,1.09,1.8,0.06,1.09,5.07,1.026,2880.2,535.68,2344.5,8487.5,0.19,0.24,169.12,74.5,94.61,0.44,306.7,549.29,-242.6,1.79,27.9,6.51,3.25,1.79,28.9,0.17,0.51,0.47,0.28,30.3,100.08,308,56,66,-,-,-,64,0.14,30,33,404,37,134,-,2239,22,-,20,5,4,19,50,1,-
