FID,103,141,142,143,144,11,12,13,14,15,16,17,18,19,20,116,117,118,119,120,121,122,123,245,246,247,248,249,250,251,252,254,255,256,257,258,259,260,273,274,275,276,278,279,280,282,283,286,287,290,291,292,293,294,295,296,297,298,308,309,310,311,312,313,314,25,159,316,317,318,319,321,322,323,324,325,205,206,207,208,209
353,0.138481309,0.110695709,0.122121719,0.125004089,0.132161763,0.099922917,0.094134796,0.07207486,0.125029283,0.079499981,0.101413286,0.095366435,0.085203112,0.089645776,0.159056503,0.099925945,0.070183365,0.087660811,0.088634234,0.096771091,0.126609388,0.091532711,0.095115581,0.09974873,0.121677231,0.16088155,0.11177437,0.097791401,0.086375664,0.111210476,0.110801917,0.11063272,0.091622262,0.097929498,0.098151578,0.093109651,0.11224065,0.100589344,0.073835049,0.086177537,0.12352134,0.108135418,0.13059212,0.064740743,0.094694642,0.098909914,0.086102625,0.085281982,0.105949368,0.110213459,0.073294899,0.11608199,0.054155727,0.063423579,0.064771586,0.102791205,0.079772076,0.102706232,0.143438087,0.139027072,0.130262841,0.120260062,0.124001513,0.115528277,0.124132105,0.098784377,0.113407299,0.140708027,0.115247602,0.158754408,0.133608573,0.126018429,0.119329125,0.172393286,0.167324557,0.146430789,0.090178938,0.105895146,0.086211042,0.107560527,0.074368429
354,0.132888505,0.109385745,0.122532857,0.122437317,0.129169968,0.112049405,0.099317657,0.083544135,0.131183115,0.084554392,0.110752196,0.10196536,0.090750631,0.101113146,0.16219926,0.097078892,0.068769024,0.082665883,0.08417256,0.096869592,0.118354951,0.091157919,0.09316636,0.092067731,0.116101434,0.151641407,0.104828899,0.093541468,0.086008872,0.106273298,0.10299008,0.100349508,0.080484408,0.086866874,0.087684994,0.081498529,0.101265074,0.091052457,0.079220164,0.08443918,0.126127316,0.107553867,0.125913254,0.065953823,0.092460121,0.097757114,0.085255627,0.076424086,0.096401047,0.102058834,0.06523612,0.106862344,0.049144354,0.055940801,0.056676258,0.098505763,0.076013757,0.099530458,0.130505092,0.126376473,0.117646524,0.109175328,0.111146099,0.101236171,0.114006198,0.090240444,0.106009627,0.139262144,0.112057313,0.152326131,0.129531153,0.123097623,0.114498775,0.170022347,0.162702526,0.139920065,0.093985412,0.111588333,0.087858266,0.109427557,0.0793343
355,0.132364728,0.11987728,0.129572851,0.130308443,0.135439767,0.109542642,0.095222881,0.081507514,0.130194613,0.08348014,0.106768828,0.097197241,0.087814498,0.095158428,0.15863159,0.111399857,0.082199177,0.096620653,0.098664863,0.111663633,0.13389488,0.108429356,0.110752382,0.089847519,0.118131917,0.149789264,0.105385004,0.091218091,0.086925258,0.101332389,0.101500025,0.097759009,0.077884967,0.087891565,0.09202996,0.081178336,0.101306483,0.087495675,0.071285176,0.082671215,0.123715912,0.11244182,0.12260898,0.061930203,0.093414423,0.095725213,0.081716389,0.083692564,0.1053322,0.111769679,0.076987273,0.113196154,0.057301288,0.06913287,0.061519818,0.103581202,0.081631562,0.10200668,0.130862326,0.125651968,0.116642955,0.111108722,0.109619284,0.104385009,0.112381218,0.096638231,0.097029272,0.127569802,0.100399373,0.139234512,0.115554355,0.111843331,0.103752907,0.151364433,0.147160136,0.12757907,0.08279195,0.103419644,0.079600592,0.101329246,0.071937953
356,0.140567377,0.117040046,0.126108635,0.126158322,0.133611329,0.11389357,0.104087639,0.086956538,0.136972366,0.093982592,0.110897778,0.102668215,0.09460771,0.09911896,0.166896484,0.106729624,0.074905285,0.092302539,0.09278823,0.105917979,0.131433966,0.102239896,0.105267782,0.092462174,0.119608268,0.155023879,0.106802335,0.092138879,0.087403334,0.103809384,0.103302687,0.099576337,0.074786625,0.090424903,0.091443382,0.083716562,0.10261991,0.088596604,0.069553557,0.083425702,0.124653738,0.116465126,0.125387329,0.063686012,0.096350905,0.1004018,0.085412894,0.086196696,0.110005144,0.113937739,0.075391622,0.114941943,0.058484517,0.068931358,0.064484061,0.103596902,0.079352339,0.099557157,0.145954434,0.14026474,0.132382906,0.125429264,0.126335945,0.1175342,0.124268168,0.102730926,0.1028377,0.131996362,0.103352838,0.144130759,0.119985692,0.117419105,0.105439742,0.156878985,0.151326636,0.133295035,0.079513739,0.096177144,0.076103162,0.097714263,0.068235773
357,0.145522469,0.108933104,0.119737193,0.119881242,0.128258507,0.1099703,0.104469462,0.085007352,0.135090018,0.093796464,0.107841807,0.100464544,0.093322008,0.097859548,0.16707112,0.097090821,0.063725241,0.082290739,0.081992065,0.093601131,0.122378259,0.090317715,0.092288955,0.094574197,0.116635283,0.156333385,0.105386423,0.090946471,0.08563603,0.105273215,0.104301888,0.100438631,0.073520915,0.090199677,0.087286922,0.085039537,0.101577432,0.089130875,0.07137231,0.083736464,0.123653263,0.114115355,0.12739229,0.064995444,0.095525535,0.101346956,0.088020901,0.084174029,0.108208872,0.109370471,0.066333054,0.110453193,0.054982295,0.063113599,0.064143312,0.103663554,0.077587122,0.099059428,0.149737822,0.145914915,0.137310518,0.129140349,0.132016869,0.119957172,0.127520587,0.106169544,0.107424591,0.136355843,0.10693849,0.147202204,0.122636288,0.121238451,0.108241113,0.163110524,0.154748568,0.137677016,0.075940883,0.090839393,0.071121652,0.094466671,0.063091007
358,0.146547014,0.113413435,0.126211704,0.129224731,0.133866173,0.095269015,0.088442898,0.071378453,0.122406456,0.075119576,0.094635443,0.085206836,0.078591777,0.086022895,0.155757249,0.105503239,0.072232986,0.088576407,0.090225201,0.098989852,0.130194535,0.099084439,0.098343863,0.097631168,0.116292508,0.1561298,0.106411008,0.090443313,0.086435044,0.105431979,0.107644119,0.10308093,0.080623259,0.091627628,0.089603418,0.088615477,0.103804591,0.091118729,0.076699287,0.08603488,0.124286473,0.111179933,0.130632981,0.064163721,0.09414728,0.097551013,0.087626915,0.085868083,0.108343037,0.109809178,0.065200638,0.109618846,0.055338437,0.06614711,0.064840404,0.114966152,0.089023133,0.111921059,0.136370613,0.136528601,0.123137094,0.1169804,0.117067464,0.108615359,0.11661641,0.11218141,0.103896358,0.134381399,0.104871411,0.14187076,0.114835352,0.115798242,0.108791366,0.158478431,0.1498484,0.133367854,0.071229744,0.093871825,0.06632834,0.094653031,0.058207947
359,0.144017529,0.111812965,0.120660535,0.125950012,0.132045798,0.096440509,0.090270561,0.073008903,0.119173184,0.077058441,0.097997996,0.087762946,0.081595005,0.086017847,0.154816904,0.103550825,0.074365258,0.08964421,0.089182607,0.098086606,0.128757287,0.095993388,0.098994495,0.098267014,0.11886092,0.156730657,0.106686585,0.09476632,0.085741852,0.107736607,0.106183468,0.106128685,0.08375393,0.094215028,0.092623489,0.093537002,0.107773412,0.094250822,0.088228011,0.084303508,0.123852456,0.108731525,0.131260396,0.063761839,0.09440447,0.0970725,0.086794002,0.081248566,0.10167554,0.103968321,0.063348398,0.1069215,0.052137607,0.059407646,0.058205251,0.120050451,0.095298753,0.117753422,0.137404356,0.137795243,0.12315255,0.115508795,0.119866169,0.110113837,0.118405028,0.108021508,0.103568724,0.138270892,0.1081717,0.150357005,0.121949304,0.12298426,0.117350883,0.163635591,0.158838119,0.140277123,0.084458376,0.103446081,0.078608961,0.103530975,0.068998284
360,0.140494839,0.110448894,0.116431519,0.122024896,0.127590591,0.099374895,0.094115552,0.076640115,0.122104642,0.083366891,0.103102731,0.09137068,0.085921908,0.08964825,0.156429268,0.10352668,0.077608848,0.092314345,0.09083549,0.100303533,0.129398171,0.097202638,0.102121846,0.095616222,0.118115282,0.155675533,0.105015175,0.094682977,0.085020951,0.105651897,0.104582616,0.103413419,0.082846976,0.093632922,0.091162821,0.092928688,0.108196343,0.093090497,0.086760181,0.087301089,0.126904569,0.111034451,0.133823756,0.066227045,0.097611198,0.100207721,0.087568471,0.079033497,0.098828376,0.103407343,0.065364995,0.10820926,0.050554515,0.058014422,0.056766625,0.120439067,0.095304915,0.116953805,0.142546403,0.140619689,0.127612679,0.118692711,0.124373987,0.114737571,0.123028839,0.105287076,0.107061783,0.143210596,0.112433419,0.158166787,0.129005679,0.12987123,0.122226732,0.168784953,0.165004889,0.145868418,0.093589612,0.110008446,0.087508941,0.110109803,0.077031895
361,0.134975681,0.109621966,0.116978482,0.120807792,0.122683845,0.09639523,0.090787833,0.074662941,0.123857858,0.083133583,0.101093611,0.087515572,0.083111718,0.089967427,0.154153914,0.106944616,0.080964382,0.094954992,0.095113692,0.10454842,0.131834499,0.103756894,0.105710632,0.089234889,0.111700734,0.150348515,0.101000596,0.087264287,0.082752073,0.097769172,0.102571133,0.096030275,0.080035751,0.090512574,0.08656444,0.086993066,0.104913723,0.088935547,0.071000606,0.091989455,0.129066789,0.113529563,0.135036396,0.068208234,0.099507434,0.101883936,0.086821461,0.081700443,0.101857687,0.108424123,0.070020764,0.111799375,0.052163144,0.06478674,0.062345277,0.116151676,0.089693656,0.110555851,0.14217352,0.137777686,0.127774291,0.119025332,0.121024715,0.114356048,0.122563269,0.106280538,0.109515505,0.143636523,0.11306171,0.156327176,0.12759093,0.128447955,0.11829851,0.166824574,0.159930588,0.143235084,0.090646172,0.109282734,0.085328272,0.109034646,0.075674006
362,0.128514315,0.105840068,0.116856093,0.118696474,0.12313937,0.096976796,0.087795712,0.073729391,0.118445971,0.079154727,0.098887433,0.086678617,0.083150934,0.087876475,0.154739664,0.104582738,0.073808871,0.08701429,0.087400421,0.098489377,0.124458991,0.098127777,0.097029064,0.084558229,0.110426067,0.147545784,0.102759321,0.085099188,0.076783712,0.097532523,0.097987077,0.104988768,0.087214124,0.10094916,0.098221287,0.094271699,0.114183911,0.101991219,0.074681493,0.08039241,0.118134355,0.103106405,0.126525585,0.059704417,0.092125795,0.093757455,0.076973228,0.087827533,0.106216215,0.107771823,0.070901408,0.110784407,0.056596334,0.067057022,0.063649083,0.111908315,0.087502758,0.107798275,0.136936301,0.13406515,0.125562668,0.114898697,0.11878685,0.110833621,0.120254824,0.105016805,0.104329138,0.141870452,0.112621474,0.153330302,0.127273373,0.125985659,0.117762103,0.165501089,0.15752173,0.143309322,0.093390904,0.110425339,0.087781663,0.108836152,0.080175405
363,0.132869001,0.107781289,0.118878304,0.121155,0.1263758,0.100030577,0.090009783,0.074439679,0.122170391,0.08160132,0.10041188,0.090802232,0.085598865,0.090553743,0.159625594,0.100826739,0.066654615,0.081635187,0.081195584,0.093722862,0.120728313,0.092681882,0.091343929,0.088182529,0.115434972,0.151559904,0.104785059,0.087489445,0.080124222,0.102453314,0.10003986,0.11040848,0.089510106,0.106606783,0.102302538,0.097612966,0.117490982,0.106929579,0.079896915,0.079774861,0.117729172,0.104009538,0.125677923,0.063180465,0.091919052,0.094613799,0.078880228,0.091801353,0.110847177,0.112707425,0.075298755,0.115236708,0.059695487,0.068659797,0.067392134,0.111716084,0.088562676,0.107400215,0.13919578,0.137632174,0.128540269,0.117321015,0.123619059,0.112171483,0.123173173,0.108051533,0.101972114,0.137609876,0.107351571,0.149988635,0.124324825,0.120446253,0.11262935,0.163022815,0.154651403,0.14025399,0.088690296,0.106712847,0.082730854,0.106593304,0.076010304
